,tweet_id,user_id,user_listed,user_followers,retweeted,retweet_count,favorited,favorite_count
1739,679062614270468097,4196983835,4075,5621844,False,9149,False,18446
1740,679047485189439488,4196983835,4075,5621844,False,764,False,2433
1741,679001094530465792,4196983835,4075,5621844,False,1363,False,3042
1742,678991772295516161,4196983835,4075,5621844,False,1315,False,2507
1743,678969228704284672,4196983835,4075,5621844,False,517,False,1774
1744,678800283649069056,4196983835,4075,5621844,False,998,False,2770
1745,678798276842360832,4196983835,4075,5621844,False,1324,False,3755
1746,678774928607469569,4196983835,4075,5621844,False,1024,False,2998
1747,678767140346941444,4196983835,4075,5621844,False,1532,False,3811
1748,678764513869611008,4196983835,4075,5621844,False,534,False,1754
1749,678755239630127104,4196983835,4075,5621844,False,3682,False,7684
1750,678740035362037760,4196983835,4075,5621844,False,1900,False,4046
1751,678708137298427904,4196983835,4075,5621844,False,2708,False,5986
1752,678675843183484930,4196983835,4075,5621844,False,1659,False,3093
1753,678643457146150913,4196983835,4075,5621844,False,480,False,2218
1754,678446151570427904,4196983835,4075,5621844,False,1755,False,4287
1755,678424312106393600,4196983835,4075,5621844,False,2834,False,5833
1756,678410210315247616,4196983835,4075,5621844,False,2034,False,4573
1757,678399652199309312,4196983835,4075,5621844,False,30362,False,61556
1758,678396796259975168,4196983835,4075,5621844,False,466,False,1713
1759,678389028614488064,4196983835,4075,5621844,False,464,False,2002
1760,678380236862578688,4196983835,4075,5621844,False,1000,False,2618
1761,678341075375947776,4196983835,4075,5621844,False,597,False,1866
1762,678334497360859136,4196983835,4075,5621844,False,297,False,1401
1763,678278586130948096,4196983835,4075,5621844,False,6724,False,12353
1764,678255464182861824,4196983835,4075,5621844,False,411,False,1702
1765,678023323247357953,4196983835,4075,5621844,False,434,False,2070
1766,678021115718029313,4196983835,4075,5621845,False,7035,False,14782
1767,677961670166224897,4196983835,4075,5621845,False,1852,False,3656
1768,677918531514703872,4196983835,4075,5621845,False,453,False,1448
1769,677895101218201600,4196983835,4075,5621845,False,2350,False,5195
1770,677716515794329600,4196983835,4075,5621845,False,1083,False,3276
1771,677700003327029250,4196983835,4075,5621845,False,1591,False,3637
1772,677698403548192770,4196983835,4075,5621845,False,356,False,1313
1773,677687604918272002,4196983835,4075,5621845,False,932,False,2644
1774,677673981332312066,4196983835,4075,5621846,False,1652,False,3577
1775,677662372920729601,4196983835,4075,5621846,False,1081,False,2099
1776,677644091929329666,4196983835,4075,5621846,False,877,False,2013
1777,677573743309385728,4196983835,4075,5621846,False,809,False,2285
1778,677565715327688705,4196983835,4075,5621846,False,508,False,1385
